City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Kapaa,US,84.2,clear sky,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
10,Progreso,MX,90.0,broken clouds,21.28,-89.67,Playa Linda Hotel
14,Nhulunbuy,AU,77.0,broken clouds,-12.23,136.77,East Arnhem Real Estate
16,Saint George,US,82.99,clear sky,37.1,-113.58,Best Western Plus Abbey Inn
20,San Policarpo,PH,76.64,heavy intensity rain,12.18,125.51,Zal-Ann Beach Resort
29,Hilo,US,82.4,broken clouds,19.73,-155.09,Hilo Hawaiian Hotel
30,Labuhan,ID,78.4,overcast clouds,-6.88,112.21,bador sepret
32,Atuona,PF,78.17,clear sky,-9.8,-139.03,Villa Enata
34,Puerto Ayora,EC,78.8,few clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
44,Bambous Virieux,MU,75.2,shower rain,-20.34,57.76,Casa Tia Villa
46,Panaba,MX,84.11,broken clouds,21.28,-88.27,Hotel Amor
47,Cam Ranh,VN,78.8,moderate rain,11.92,109.16,OYO 598 Peony Hotel
55,Soyo,AO,75.69,broken clouds,-6.13,12.37,Hotel Mpampa
61,Manaure,CO,85.53,light rain,11.78,-72.44,Del mar vendra
69,Muscat,OM,77.0,clear sky,23.61,58.59,Mutrah Hotel
71,Carutapera,BR,80.37,overcast clouds,-1.2,-46.02,Lidera
74,Bengkulu,ID,75.42,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
83,Avarua,CK,75.2,clear sky,-21.21,-159.78,Paradise Inn
88,Gat,IL,75.0,scattered clouds,31.61,34.76,OlusHome
90,Totolapan,MX,87.8,scattered clouds,18.52,-96.18,RANCHO LOS ZURITA
91,Vaini,TO,75.2,few clouds,-21.2,-175.2,Keleti Beach Resort
93,Meulaboh,ID,75.56,overcast clouds,4.14,96.13,Kost Pria
110,Faanui,PF,78.3,clear sky,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
111,Coahuayana,MX,84.2,scattered clouds,18.73,-103.68,Hotel Los Arcos
112,Amahai,ID,80.01,scattered clouds,-3.33,128.92,Peternakan Ayam Bangkok Manisso
114,Dhidhdhoo,MV,81.97,light rain,6.88,73.1,Dhidhoo beach
115,Hithadhoo,MV,82.47,overcast clouds,-0.6,73.08,Scoop Guest House
117,Butaritari,KI,81.79,broken clouds,3.07,172.79,Isles Sunset Lodge
129,Esmeraldas,BR,84.2,scattered clouds,-19.76,-44.31,Hotel Fazenda Lagoa Azul
130,Mexico,PH,75.2,broken clouds,15.06,120.72,stone place
134,Praia,CV,78.8,scattered clouds,14.92,-23.51,LT Aparthotel
140,Russell,US,86.0,clear sky,32.35,-85.2,Macs
141,San Andres,CO,87.8,broken clouds,12.58,-81.7,Hotel Arena Blanca
142,Buchanan,LR,76.48,overcast clouds,5.88,-10.05,Kamaneahn Hotel Inc
143,Dingle,PH,75.2,light rain,11.0,122.67,Camp Pasica
146,Mangrol,IN,82.11,overcast clouds,21.12,70.12,Hotel The Royal Honours
148,Gizo,SB,79.63,overcast clouds,-8.1,156.84,Imagination Island
156,Itarema,BR,79.14,scattered clouds,-2.92,-39.92,Windvillage
158,Natal,BR,80.6,scattered clouds,-5.79,-35.21,Villa Park Hotel | Natal
160,Porterville,US,84.99,clear sky,36.07,-119.02,Holiday Inn Express & Suites Porterville
161,Kutum,SD,79.48,clear sky,14.2,24.67,Dibbo areaمنطقة دبو
163,Rahatgarh,IN,76.3,overcast clouds,23.78,78.37,शेट्टी खान
167,Vila Velha,BR,78.01,overcast clouds,-20.33,-40.29,Hotel Vitória Palace
168,Ruston,US,75.2,clear sky,32.52,-92.64,"Country Inn & Suites by Radisson, Ruston, LA"
169,Kailua,US,86.0,broken clouds,21.4,-157.74,Sheffield House Bed & Breakfast
170,Nishihara,JP,77.0,broken clouds,26.18,127.76,Minshuku Agaihama
177,Souillac,MU,75.2,shower rain,-20.52,57.52,Bils' Villa
179,Buin,CL,75.99,broken clouds,-33.73,-70.75,Paihuen
182,Akyab,MM,80.24,overcast clouds,20.15,92.9,Hotel Memory
186,Grand Gaube,MU,75.0,clear sky,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
187,Mahebourg,MU,75.2,shower rain,-20.41,57.7,Shandrani Beachcomber Resort & Spa
192,San Quintin,MX,88.27,clear sky,30.48,-115.95,Old Mill Hotel
194,Salalah,OM,80.6,clear sky,17.02,54.09,HAMDAN PLAZA HOTEL
198,Alta Floresta,BR,83.59,light rain,-9.88,-56.09,Floresta Amazonica Hotel
214,Lufilufi,WS,86.0,scattered clouds,-13.87,-171.6,Leuaina Beach Resort and Spa
216,Atar,MR,84.43,light rain,20.52,-13.05,Oumou Elghoura
220,Radhanpur,IN,85.15,broken clouds,23.83,71.6,YASH HOTEL
225,Chirongui,YT,78.8,broken clouds,-12.93,45.15,La Villa Mahatsara
226,Martapura,ID,77.0,few clouds,-3.42,114.85,Montana Hotel Syariah
229,Sola,VU,81.63,light rain,-13.88,167.55,Leumerus Bungalows
231,Wichita Falls,US,84.0,clear sky,33.91,-98.49,Quality Inn & Suites Wichita Falls I-44
235,Kirakira,SB,80.76,overcast clouds,-10.45,161.92,SanBiz Lodge
