City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Torbay,CA,47.67,-52.73,48.2,57,20,5.82,few clouds
1,Mataura,NZ,-46.19,168.86,45.0,73,78,10.0,light rain
2,Kapaa,US,22.08,-159.32,84.2,70,1,13.87,clear sky
3,Aykhal,RU,66.0,111.5,14.0,92,20,2.24,few clouds
4,Zonguldak,TR,41.25,31.83,61.77,90,39,4.23,scattered clouds
5,Nikolskoye,RU,59.7,30.79,45.0,93,46,2.24,fog
6,La Paz,BO,-16.5,-68.15,59.0,30,40,6.93,scattered clouds
7,Bluff,NZ,-46.6,168.33,45.0,73,98,10.0,light rain
8,Tambura,SS,5.6,27.47,69.39,95,62,1.9,broken clouds
9,Punta Arenas,CL,-53.15,-70.92,42.01,80,90,38.03,shower rain
10,Progreso,MX,21.28,-89.67,90.0,70,75,4.7,broken clouds
11,Saskylakh,RU,71.92,114.08,12.16,95,71,6.91,broken clouds
12,Hermanus,ZA,-34.42,19.23,48.0,88,0,10.92,clear sky
13,Khasan,RU,42.43,130.64,40.14,64,0,10.71,clear sky
14,Nhulunbuy,AU,-12.23,136.77,77.0,88,60,8.05,broken clouds
15,Agadez,NE,19.75,10.25,80.33,17,0,1.23,clear sky
16,Saint George,US,37.1,-113.58,82.99,13,1,3.51,clear sky
17,Omsukchan,RU,62.53,155.8,31.23,96,100,7.14,overcast clouds
18,Fortuna,US,40.6,-124.16,73.99,60,1,13.87,clear sky
19,Portland,US,45.52,-122.68,64.4,88,75,8.05,broken clouds
20,San Policarpo,PH,12.18,125.51,76.64,93,100,11.52,heavy intensity rain
21,Northam,GB,51.03,-4.22,53.01,88,84,10.0,broken clouds
22,Tiksi,RU,71.69,128.87,10.78,95,10,4.74,clear sky
23,Albany,US,42.6,-73.97,53.01,100,90,4.7,overcast clouds
24,Dikson,RU,73.51,80.55,29.82,93,100,6.73,overcast clouds
25,Rocha,UY,-34.48,-54.33,59.47,83,2,7.0,clear sky
26,Qaanaaq,GL,77.48,-69.36,22.66,80,0,6.17,clear sky
27,Saint-Philippe,RE,-21.36,55.77,71.6,73,37,5.82,light rain
28,Tuktoyaktuk,CA,69.45,-133.04,23.0,85,75,8.05,broken clouds
29,Hilo,US,19.73,-155.09,82.4,65,75,4.7,broken clouds
30,Labuhan,ID,-6.88,112.21,78.4,82,100,7.23,overcast clouds
31,Castro,BR,-24.79,-50.01,72.21,55,92,3.56,overcast clouds
32,Atuona,PF,-9.8,-139.03,78.17,74,7,19.06,clear sky
33,Mehamn,NO,71.04,27.85,33.8,86,40,6.93,scattered clouds
34,Puerto Ayora,EC,-0.74,-90.35,78.8,65,20,16.11,few clouds
35,Carnarvon,AU,-24.87,113.63,66.2,88,40,16.11,scattered clouds
36,Severo-Yeniseyskiy,RU,60.37,93.04,27.63,99,100,2.08,overcast clouds
37,Bredasdorp,ZA,-34.53,20.04,46.4,87,0,3.36,clear sky
38,Palana,RU,59.12,159.97,37.71,72,100,6.33,overcast clouds
39,Lebu,CL,-37.62,-73.65,54.34,84,0,20.96,clear sky
